date,country,state,population,confirmed,confirmed_1d,confirmed_moving_avg_7d,confirmed_moving_avg_7d_rate_14d,confirmed_trend,deaths,deaths_1d,deaths_moving_avg_7d,deaths_moving_avg_7d_rate_14d,deaths_trend,month,year
2021-01-01,Brazil,Acre,881935,41689,,,,,796,,,,,2021-01,2021
2021-01-02,Brazil,Acre,881935,41941,252,,,,798,2,,,,2021-01,2021
2021-01-03,Brazil,Acre,881935,42046,105,,,,802,4,,,,2021-01,2021
2021-01-04,Brazil,Acre,881935,42117,71,,,,806,4,,,,2021-01,2021
2021-01-05,Brazil,Acre,881935,42170,53,,,,808,2,,,,2021-01,2021
2021-01-06,Brazil,Acre,881935,42378,208,,,,814,6,,,,2021-01,2021
2021-01-07,Brazil,Acre,881935,42478,100,,,,821,7,,,,2021-01,2021
2021-01-08,Brazil,Acre,881935,42814,336,161,,,823,2,4,,,2021-01,2021
2021-01-09,Brazil,Acre,881935,42908,94,139,,,823,0,4,,,2021-01,2021
2021-01-10,Brazil,Acre,881935,43127,219,155,,,825,2,4,,,2021-01,2021
2021-01-11,Brazil,Acre,881935,43346,219,176,,,826,1,3,,,2021-01,2021
2021-01-12,Brazil,Acre,881935,43432,86,181,,,827,1,3,,,2021-01,2021
2021-01-13,Brazil,Acre,881935,43785,353,201,,,829,2,3,,,2021-01,2021
2021-01-14,Brazil,Acre,881935,44068,283,228,,,832,3,2,,,2021-01,2021
2021-01-15,Brazil,Acre,881935,44156,88,192,,,835,3,2,,,2021-01,2021
2021-01-16,Brazil,Acre,881935,44621,465,245,,,835,0,2,,,2021-01,2021
2021-01-17,Brazil,Acre,881935,44767,146,235,,,836,1,2,,,2021-01,2021
2021-01-18,Brazil,Acre,881935,44775,8,205,,,837,1,2,,,2021-01,2021
2021-01-19,Brazil,Acre,881935,45208,433,254,,,839,2,2,,,2021-01,2021
2021-01-20,Brazil,Acre,881935,45429,221,235,,,840,1,2,,,2021-01,2021
2021-01-21,Brazil,Acre,881935,45729,300,238,,,844,4,2,,,2021-01,2021
2021-01-22,Brazil,Acre,881935,45987,258,262,1.6273291925465838,upward,846,2,2,0.5,downward,2021-01,2021
2021-01-23,Brazil,Acre,881935,46239,252,232,1.669064748201439,upward,848,2,2,0.5,downward,2021-01,2021
2021-01-24,Brazil,Acre,881935,46429,190,238,1.5354838709677419,upward,850,2,2,0.5,downward,2021-01,2021
2021-01-25,Brazil,Acre,881935,46539,110,252,1.4318181818181819,upward,854,4,3,1.0,stable,2021-01,2021
2021-01-26,Brazil,Acre,881935,46774,235,224,1.2375690607734806,upward,856,2,3,1.0,stable,2021-01,2021
2021-01-27,Brazil,Acre,881935,47119,345,242,1.2039800995024876,upward,858,2,3,1.0,stable,2021-01,2021
2021-01-28,Brazil,Acre,881935,47461,342,248,1.087719298245614,stable,860,2,3,1.5,upward,2021-01,2021
2021-01-29,Brazil,Acre,881935,47936,475,279,1.453125,upward,861,1,3,1.5,upward,2021-01,2021
2021-01-30,Brazil,Acre,881935,48347,411,302,1.2326530612244897,upward,864,3,3,1.5,upward,2021-01,2021
2021-01-31,Brazil,Acre,881935,48467,120,292,1.2425531914893617,upward,867,3,3,1.5,upward,2021-01,2021
2021-02-01,Brazil,Acre,881935,48820,353,326,1.5902439024390245,upward,873,6,3,1.5,upward,2021-02,2021
2021-02-02,Brazil,Acre,881935,49049,229,325,1.279527559055118,upward,876,3,3,1.5,upward,2021-02,2021
2021-02-03,Brazil,Acre,881935,49547,498,347,1.476595744680851,upward,879,3,3,1.5,upward,2021-02,2021
2021-02-04,Brazil,Acre,881935,49944,397,355,1.4915966386554622,upward,882,3,4,2.0,upward,2021-02,2021
2021-02-05,Brazil,Acre,881935,50122,178,313,1.1946564885496183,upward,884,2,4,2.0,upward,2021-02,2021
2021-02-06,Brazil,Acre,887777,50454,332,301,1.2974137931034482,upward,886,2,4,2.0,upward,2021-02,2021
2021-02-07,Brazil,Acre,881935,50546,92,297,1.2478991596638656,upward,888,2,3,1.5,upward,2021-02,2021
2021-02-08,Brazil,Acre,884517,50694,148,268,1.0634920634920635,stable,893,5,3,1.0,stable,2021-02,2021
2021-02-09,Brazil,Acre,881935,51269,575,318,1.4196428571428572,upward,900,7,4,1.3333333333333333,upward,2021-02,2021
2021-02-10,Brazil,Acre,881935,51679,410,305,1.2603305785123966,upward,902,2,4,1.3333333333333333,upward,2021-02,2021
2021-02-11,Brazil,Acre,881935,52172,493,319,1.2862903225806452,upward,907,5,4,1.3333333333333333,upward,2021-02,2021
2021-02-12,Brazil,Acre,881935,52548,376,347,1.2437275985663083,upward,910,3,4,1.3333333333333333,upward,2021-02,2021
2021-02-13,Brazil,Acre,881935,52920,372,353,1.1688741721854305,upward,917,7,5,1.6666666666666667,upward,2021-02,2021
2021-02-14,Brazil,Acre,881935,53027,107,355,1.2157534246575343,upward,921,4,5,1.6666666666666667,upward,2021-02,2021
2021-02-15,Brazil,Acre,881935,53455,428,395,1.2116564417177915,upward,931,10,6,2.0,upward,2021-02,2021
2021-02-16,Brazil,Acre,881935,53590,135,332,1.0215384615384615,stable,932,1,5,1.6666666666666667,upward,2021-02,2021
2021-02-17,Brazil,Acre,881935,53892,302,317,0.9135446685878963,stable,940,8,6,2.0,upward,2021-02,2021
2021-02-18,Brazil,Acre,881935,54130,238,280,0.7887323943661971,stable,948,8,6,1.5,upward,2021-02,2021
2021-02-19,Brazil,Acre,881935,54562,432,288,0.9201277955271565,stable,951,3,6,1.5,upward,2021-02,2021
2021-02-20,Brazil,Acre,881935,54743,181,261,0.867109634551495,stable,957,6,6,1.5,upward,2021-02,2021
2021-02-21,Brazil,Acre,881935,54786,43,252,0.8484848484848485,stable,963,6,6,2.0,upward,2021-02,2021
2021-02-22,Brazil,Acre,881935,54969,183,217,0.8097014925373134,stable,968,5,6,2.0,upward,2021-02,2021
2021-02-23,Brazil,Acre,881935,55591,622,286,0.89937106918239,stable,974,6,6,1.5,upward,2021-02,2021
2021-02-24,Brazil,Acre,881935,55881,290,285,0.9344262295081968,stable,975,1,5,1.25,upward,2021-02,2021
2021-02-25,Brazil,Acre,881935,56257,376,304,0.9529780564263323,stable,982,7,5,1.25,upward,2021-02,2021
2021-02-26,Brazil,Acre,881935,56731,474,310,0.8933717579250721,stable,986,4,5,1.25,upward,2021-02,2021
2021-02-27,Brazil,Acre,881935,57337,606,371,1.0509915014164306,stable,996,10,6,1.2,upward,2021-02,2021
2021-02-28,Brazil,Acre,881935,57534,197,393,1.1070422535211268,stable,998,2,5,1.0,stable,2021-02,2021
2021-03-01,Brazil,Acre,881935,57894,360,418,1.058227848101266,stable,1012,14,7,1.1666666666666667,upward,2021-03,2021
2021-03-02,Brazil,Acre,881935,58081,187,356,1.072289156626506,stable,1020,8,7,1.4,upward,2021-03,2021
2021-03-03,Brazil,Acre,881935,58506,425,375,1.1829652996845426,upward,1030,10,8,1.3333333333333333,upward,2021-03,2021
2021-03-04,Brazil,Acre,881935,58884,378,376,1.3428571428571427,upward,1037,7,8,1.3333333333333333,upward,2021-03,2021
2021-03-05,Brazil,Acre,881935,59500,616,396,1.375,upward,1047,10,9,1.5,upward,2021-03,2021
2021-03-06,Brazil,Acre,881950,60070,570,391,1.4980842911877394,upward,1054,7,9,1.5,upward,2021-03,2021
2021-03-07,Brazil,Acre,881935,60288,218,394,1.5634920634920635,upward,1063,9,10,1.6666666666666667,upward,2021-03,2021
2021-03-08,Brazil,Acre,881935,60656,368,395,1.8202764976958525,upward,1066,3,8,1.3333333333333333,upward,2021-03,2021
2021-03-09,Brazil,Acre,881935,60721,65,378,1.3216783216783217,upward,1071,5,8,1.3333333333333333,upward,2021-03,2021
2021-03-10,Brazil,Acre,881935,61121,400,374,1.312280701754386,upward,1083,12,8,1.6,upward,2021-03,2021
2021-03-11,Brazil,Acre,881935,61394,273,359,1.180921052631579,upward,1094,11,9,1.8,upward,2021-03,2021
2021-03-12,Brazil,Acre,881935,61709,315,316,1.0193548387096774,stable,1106,12,9,1.8,upward,2021-03,2021
2021-03-13,Brazil,Acre,881935,62332,623,324,0.8733153638814016,stable,1117,11,9,1.5,upward,2021-03,2021
2021-03-14,Brazil,Acre,881935,62620,288,334,0.8498727735368957,stable,1122,5,9,1.8,upward,2021-03,2021
2021-03-15,Brazil,Acre,881935,62940,320,327,0.7822966507177034,stable,1129,7,9,1.2857142857142858,upward,2021-03,2021
2021-03-16,Brazil,Acre,881935,63378,438,380,1.0674157303370786,stable,1140,11,10,1.4285714285714286,upward,2021-03,2021
2021-03-17,Brazil,Acre,881935,63721,343,372,0.992,stable,1144,4,9,1.125,stable,2021-03,2021
