date,country,population,total,one_shot,one_shot_perc,two_shots,two_shots_perc,three_shots,three_shots_perc,month,year
2021-01-01,Brazil,214326223,,,,,,,,2021-01,2021
2021-01-02,Brazil,214326223,,,,,,,,2021-01,2021
2021-01-03,Brazil,214326223,,,,,,,,2021-01,2021
2021-01-04,Brazil,214326223,,,,,,,,2021-01,2021
2021-01-05,Brazil,214326223,,,,,,,,2021-01,2021
2021-01-06,Brazil,214326223,,,,,,,,2021-01,2021
2021-01-07,Brazil,214326223,,,,,,,,2021-01,2021
2021-01-08,Brazil,214326223,,,,,,,,2021-01,2021
2021-01-09,Brazil,214326223,,,,,,,,2021-01,2021
2021-01-10,Brazil,214326223,,,,,,,,2021-01,2021
2021-01-11,Brazil,214326223,,,,,,,,2021-01,2021
2021-01-12,Brazil,214326223,,,,,,,,2021-01,2021
2021-01-13,Brazil,214326223,,,,,,,,2021-01,2021
2021-01-14,Brazil,214326223,,,,,,,,2021-01,2021
2021-01-15,Brazil,214326223,,,,,,,,2021-01,2021
2021-01-16,Brazil,214326223,,,,,,,,2021-01,2021
2021-01-17,Brazil,214326223,112,112,0.0,,,,,2021-01,2021
2021-01-18,Brazil,214326223,1109,1109,0.0,,,,,2021-01,2021
2021-01-19,Brazil,214326223,13527,13527,0.0001,,,,,2021-01,2021
2021-01-20,Brazil,214326223,105824,105824,0.0005,,,,,2021-01,2021
2021-01-21,Brazil,214326223,193699,193699,0.0009,,,,,2021-01,2021
2021-01-22,Brazil,214326223,462269,462269,0.0022,,,,,2021-01,2021
2021-01-23,Brazil,214326223,573268,573268,0.0027,,,,,2021-01,2021
2021-01-24,Brazil,214326223,613954,613954,0.0029,,,,,2021-01,2021
2021-01-25,Brazil,214326223,801759,801759,0.0037,,,,,2021-01,2021
2021-01-26,Brazil,214326223,1045746,1045746,0.0049,,,,,2021-01,2021
2021-01-27,Brazil,214326223,1327546,1327546,0.0062,,,,,2021-01,2021
2021-01-28,Brazil,214326223,1563098,1563098,0.0073,,,,,2021-01,2021
2021-01-29,Brazil,214326223,1923813,1923813,0.009,,,,,2021-01,2021
2021-01-30,Brazil,214326223,2046523,2046523,0.0095,,,,,2021-01,2021
2021-01-31,Brazil,214326223,2084119,2084119,0.0097,,,,,2021-01,2021
2021-02-01,Brazil,214326223,2292551,2292551,0.0107,,,,,2021-02,2021
2021-02-02,Brazil,214326223,2521704,2521704,0.0118,,,,,2021-02,2021
2021-02-03,Brazil,214326223,2802134,2802134,0.0131,,,,,2021-02,2021
2021-02-04,Brazil,214326223,3074906,3074906,0.0143,,,,,2021-02,2021
2021-02-05,Brazil,214326223,3401383,3399421,0.0159,1962,0.0,,,2021-02,2021
2021-02-06,Brazil,214326223,3553681,3534004,0.0165,19677,0.0001,,,2021-02,2021
2021-02-07,Brazil,214326223,3605538,3579850,0.0167,25688,0.0001,,,2021-02,2021
2021-02-08,Brazil,214326223,3820207,3786591,0.0177,33616,0.0002,,,2021-02,2021
